id,cusped,m,l,betti,torsion,volume,chernsimons,hash,cuspedtriangulation
47,m016,-2,3,0,"[56]",2.0298832128,0.08333333333,2a0d0631ed5bb9b3f7afe8744afe5acc,dLQbbcceikn_aBba
48,m010,-4,3,0,"[2, 6]",2.02988321282,-0.125,fd421d7653467910a2ba8d5fc1cfbd86,dLQbcccxhbr_BbBa
49,m019,3,2,0,"[16]",2.02988321282,0.16666666667,798181d3149a15442da77002206f0e20,dPPbbccudgk_BbaB
50,m011,-3,1,0,"[48]",2.02988321282,0.16666666667,259c5a7f50892668be24a7576b650314,dLQbbccxmkn_BbaB
51,m010,4,1,0,"[6, 6]",2.0298832128,-0.16666666667,8fe4db1cf101faa0b7abb3c44b38edbf,dLQbcccxhbr_BbBa
52,m007,-6,1,0,"[3, 3]",2.0555467489,-0.210996621431,e3ce0a88cfd22bf356241150769ef8bf,dzQbcccxmgw_BaaB
53,m010,3,2,0,"[42]",2.05848436819,0.020833333333,8d8a0716b730a8bfb799adaf4bada618,dLQbcccxhbr_BbBa
54,m016,-4,1,0,"[22]",2.05848436819,0.14583333333,7c4e510b9731394fc6b817e0c4a8c15b,dLQbbcceikn_aBba
55,m009,6,1,0,"[10]",2.0624516259,0.05168172368,1f6a6fd7cec276ac5422fd31e147b3fb,dLQbcccxhwg_BabB
56,m009,-6,1,0,"[14]",2.0624516259,-0.093348390344,4c377af4fcd6df7a7c2eba29a664eff3,dLQbcccxhwg_BabB
57,m007,-5,2,0,"[3]",2.0656708385,0.086166948246,e85e0d972d78dde694856b811915a4df,dzQbcccxmgw_BaaB
58,m015,-5,1,0,"[3]",2.1030952907,-0.22550668342,851de6116493321dcb1a0e8376fa636d,dLQbcccpufw_BaaB
59,m010,1,3,0,"[42]",2.10863612829,0.079886451561,ad081f7c0150228e48661443eafd9723,dLQbcccxhbr_BbBa
60,m016,3,2,0,"[33]",2.11456769311,0.05755565711,1edd77fb6dd23aa171fd7519f8561fd1,dLQbbcceikn_aBba
61,m015,3,2,0,"[7]",2.11456769311,0.10911100956,36735d8b320a7fa78745576569aa00f1,dLQbcccpufw_BaaB
62,m010,-5,1,0,"[3, 6]",2.1147137113,0.127456103962,834bad3fff64f6dc4d372f5e0720bb89,dLQbcccxhbr_BbBa
63,m011,4,1,0,"[43]",2.12430175731,-0.062536491851,71f6a2f24703ba8cce593d4e915b9bea,dLQbbccxmkn_BbaB
64,m010,-5,2,0,"[6]",2.12801246118,-0.0657693726,0745f6fa957741082010ec8eabc1aff4,dLQbcccxhbr_BbBa
65,m016,4,1,0,"[14]",2.1340163368,-0.12738649486,9b3a595ea421193bc58db5c0e0add966,dLQbbcceikn_aBba
66,m009,-5,2,0,"[14]",2.1340163368,0.20594683848,9b3a595ea421193bc58db5c0e0add966,dLQbcccxhwg_BabB
67,m009,5,2,0,"[6]",2.1340163368,-0.247613505143,7f3e31ae1cdeb5ed3473a04b99ee5a61,dLQbcccxhwg_BabB
68,m017,1,3,0,"[35]",2.15573856764,-0.05453198761,17436c3e754a9af33b646ca547a26e8f,dzQbbccdivw_BaaB
69,m011,-2,3,0,"[53]",2.1557385676,0.11213467905,81864b117807020467ca6d74acaa9bed,dLQbbccxmkn_BbaB
70,m034,4,1,0,"[7]",2.18475557506,0.215052703816,a7623f5be70694bd7a218205887715bf,ezMkbcddddqhei_BbBa
71,m010,-5,3,0,"[6]",2.19336432051,0.04010648354,b547e22d7341399a90f32e642db95418,dLQbcccxhbr_BbBa
72,m034,-4,1,0,"[25]",2.19596411869,0.0,01445842fedab01a1d0c7dcb13a43a18,ezMkbcddddqhei_BbBa
73,m010,-3,4,0,"[30]",2.2004162581,0.10124624922,1ce63e21d8082418889977469fe30674,dLQbcccxhbr_BbBa
74,m034,-3,2,0,"[30]",2.20766623873,-0.168201939041,141db92a16bd87ec724689cb1f179d45,ezMkbcddddqhei_BbBa
75,m011,-3,2,0,"[57]",2.20828235971,0.00233374399,47dafb5a72babff05c3dc2024dfc3471,dLQbbccxmkn_BbaB
76,m011,4,3,0,"[25]",2.2102443409,0.16777984853,f4e749e96a6fef8a12de06fdff1f09a9,dLQbbccxmkn_BbaB
77,m011,1,4,0,"[23]",2.21095173911,0.18332764359,8efc083e601666a92a6462fe24f653a2,dLQbbccxmkn_BbaB
78,m015,-3,2,0,"[]",2.22671790392,0.07731787139,ced8e42f53a8087d1fb4a93e8ec109d7,dLQbcccpufw_BaaB
79,m015,7,1,0,"[9]",2.22671790392,-0.089348795281,0c006897a96acaed8d7b1b3c37b848c9,dLQbcccpufw_BaaB
80,m038,1,2,0,"[]",2.2597671326,0.23124223076,0d80a1986a3c580672bf59fbd10ed5c7,evQkbcddddwnbr_aBba
81,m015,5,2,0,"[9]",2.26624357327,0.1152856184,859ef42fb2b2e142c9e7a2e8ef9594db,dLQbcccpufw_BaaB
82,m016,2,3,0,"[52]",2.27263186359,-0.051031154038,8400438b94c3157adc4787e152adbbb6,dLQbbcceikn_aBba
83,m026,-4,1,0,"[13]",2.27263186359,-0.19896884596,56bccc1ac04373c3a52dee73b4c4e5f6,ePzkbbcddxekqw_BaaB
84,m015,-6,1,0,"[4]",2.2726318636,-0.2176978207,98d75ae007485011e933fa001e46a18c,dLQbcccpufw_BaaB
85,m017,2,3,0,"[28]",2.27263186359,-0.2176978207,182b23ddb2b024d735ef2d1f92c16768,dzQbbccdivw_BaaB
86,m011,-1,4,0,"[49]",2.27577581007,-0.078472403958,583a4e6ccd521f35ae9414c80acc0dbf,dLQbbccxmkn_BbaB
87,m038,4,1,0,"[10]",2.27795944494,0.060368373225,3aa3879278888a712be9e2a888e7a5a8,evQkbcddddwnbr_aBba
88,m023,-3,2,0,"[3]",2.29443830007,-0.23703012697,f9f0933aee9cfa22f52ccaf51d582513,eLMkcbdddhqqti_BaBB
89,m023,-5,1,0,"[12]",2.3126354033,-0.0442516865,be323b2f64333b8787bed77573ab32a6,eLMkcbdddhqqti_BaBB
90,m022,2,3,0,"[28]",2.3126354033,-0.0442516865,96c57e477a01f8ff6a499c41387208dd,eLMkcbdddhqqep_BbbC
91,m038,-5,1,0,"[17]",2.3126354033,-0.127585019831,7df8a5da756e3ab9431e513f66c0aa33,evQkbcddddwnbr_aBba
92,m017,-5,1,0,"[7, 7]",2.31881186766,-2.990829e-05,6f682238bdd2ccab82bf068a84247cfc,dzQbbccdivw_BaaB
93,m016,-5,1,0,"[23]",2.3188118677,0.16663675838,89666b41fbac0550d27143c5f20e150a,dLQbbcceikn_aBba
94,m019,4,1,0,"[7]",2.32076026748,-0.02485750247,9d49337dc6c43a17257b8b2a0e6bae7d,dPPbbccudgk_BbaB
95,m022,1,3,0,"[35]",2.33804011775,0.11625050942,de82460eecf138efe73b06e578eecb48,eLMkcbdddhqqep_BbbC
96,m016,-4,3,0,"[58]",2.3430171369,-0.091666666667,13b26aa1ef8ef8afafb2c7bbdcf28cd9,dLQbbcceikn_aBba
97,m017,-4,3,0,"[70]",2.3430171369,0.24166666667,18e08846b504aaff135ecc3e4e7d80f0,dzQbbccdivw_BaaB
98,m016,-1,4,0,"[73]",2.3522069054,-0.1112485686,dc035081a9ecf607bf52f2f29f1b9e66,dLQbbcceikn_aBba
99,m017,-1,4,0,"[63]",2.3522069054,0.22208476474,493d6714804b95385bc5d0981c23c46c,dzQbbccdivw_BaaB
100,m019,1,4,0,"[62]",2.35676840694,0.2248923333,29ae605ea7aa0a191c951605167e8c2f,dPPbbccudgk_BbaB
101,m015,8,1,0,"[10]",2.36270079255,-0.09525197606,7a6f20063a232e5d6926f8a60f48a589,dLQbcccpufw_BaaB
102,m034,3,2,0,"[6]",2.3627007926,-0.11308135727,3071a4dc7efb43aa93956b8bf67359ab,ezMkbcddddqhei_BbBa
