id,name,cusps,betti,torsion,tets,solids,hash,volume,triangulation
3598,ndode02_03530,2,2,"[2, 4]",47,2,160dac5433e847af46d78311fc78b09c,41.160398707799985,VvLvvLvvvvAvwQPMMPvMMQPQPLQLQQQQcdktoyqruopABsACBxDKEKENOGCCDQMRPPILUOQNRSOTQSTUUnlafafaffkpmforrooaoifqqallgdfufndaaqqfdafefqfqx_BaaBbaab
3599,ndode02_03531,3,2,[4],47,2,fe18a371a7bcad0b882a4f948dac7710,41.160398707799985,VvLLvvLvvMwzLMLLQQvMAPQLwMAQQMQQcdflnrtnwnzrGrAFHGzDIBzHCLMDGDQNRJRKTNSPSTPTPUSUUxvvvrxbxvavxvtsfvajacvvcxafxfaaaavjuvacvaxxcvjdx_baabbaabBaaB
3600,ndode02_03532,1,3,[],47,2,49944f2f56026cd70742401c2207b63b,41.160398707799985,VvLLvvLvLLwzzMzvMvQLPQQwQAQLQQQQcdflqrtnpvxzGyHzGFAJzLCILHKPORHQKLSQURPMRNSOQUTTUxvvcrxbcaxaaavaccxvvdvcdcjcacvaghtxaxxltffjbarvj_BaaB
3601,ndode02_03533,3,2,"[2, 4]",47,2,27da724721ba4e9667ea756cb9af446e,41.160398707799985,VLvvvAvvLPPvvzLPwwQLwMzQQQAPQQQQcbglkuunrzGCsAtGDvyKNIGRLFPSMQHIHPMURTKNOMOUSQTUTekfeloawooaoqoeoroqaooafagfggfafmmaqoohorowodtao_bBabbaabBaaB
3602,ndode02_03534,3,1,"[2, 4, 4]",47,2,5cdae32898270dfbe1ee12604542690e,41.160398707799985,VLvvvAvvLPPvvvMPwwQPwAAAAzQQQQQQcbglkuunrBxCsAtGDvEyIEKJGNLQMITOHSJQNKPMPRURSQUTUekfeloawfraoqoeortoatfwooffgaamofaafoaraiatjaooq_baabbaabBaaB
3603,ndode02_03535,2,1,"[2, 2, 16]",48,2,ca2af533d157f8c29a3abf0d670298da,41.160398707799985,WvLvAvvLzvLPvwwvLPPQAAAwzQQQQQPQQchgnsqprxDwyCAzNFFGDCEIKMJPUHGKITSMLQQNSOQVSRVTUVfqdaahjjaabbwfmaeeeqtmjudhrjvstbcqwgffummuvhnfpwx_baabbaab
3604,ndode02_03536,3,3,[6],47,2,ad58df74605d16f61e66520c069f7411,41.160398707799985,VvLLvwvvvLLLMvwvQMzwPQQPwQQQQMQQcefgmnwpvqDsIGuLJyzMHKPKGIOEETRORFNMSQTQQNPUTUUSSgthgtpaafajftvtguglhhhbfhbaaabldffvfifoimhbvaaha_baabbaabbaab
3605,ndode02_03537,5,3,"[2, 2, 2, 6]",47,2,00d8adc93dd54590523c257cb2b833e5,41.160398707799985,VvLLvvLvwPzwwwzLQzLMzPPQzAPQQQQQcedlnjlrwoxqEwBCuyFHFJPOQHMIRNSHLJSIUTPTUTPNSORRUasvtraavccfdvatvllldlaxvligdcvfvfafasqhupgrlxdff_baabbaabbaabbaabbaab
3606,ndode02_03538,2,3,[],47,2,0c7152f75961ed034692350bf32cd9ff,41.160398707799985,VvLLvLvLvLwLAzAMwMLAzQzwMQAQQMQQcdfjnmkpAvCwuvDxByHFJHILHIOCQJNSQKLTKRPSNTSPRUTUUcagaihaaambaaagabehatghegajagghbababaaavhhbghael_BaaBbabB
3607,ndode02_03539,2,2,"[2, 2, 10]",47,2,98549eb0be61a8120e34a20c01e0f80b,41.160398707799985,VLLLwLvPvLvvwMzQwvzQzQzAzQQPQMQQccdffkjmnruvxrxDBJDGHEHJIALPNEMMKPSNRQOPTMUSQUTSUlceiialftmgjvfxgamffefvtblpovffvfgigglfavquufmqq_baabbaab
3608,ndode02_03540,1,1,"[2, 2, 60]",47,2,c1de04a6214fdb7a98dcfdb186f95288,41.160398707799985,VvLAwzzvvAvLLzwQPPPLvMMQPMQvMQQQccddfhikmputuyvuzEAGwAHHMNEIGFIKOMOPNTRUQNPSRTSUUkcrebfdsgvalefvbaabjgaesbgahhahathjnealflgttecff_baab
3609,ndode02_03541,3,1,"[2, 2, 4, 60]",47,2,4b5483bac8d4a42abecd5db1bb58236b,41.160398707799985,VLLLwLvPvLvvwMzQwvzAzQzAPQQPAQQQccdffkjmnruvxrxDBJDJEMGIALQHPENNKQPLOSRQTNTORUUTUlceiialftmgjvfxgamfeavtblpavvffvflqaggfavfkasmmr_baabbaabBaaB
3610,ndode02_03542,2,2,"[2, 2, 10]",47,2,cbf942399554ed5f959d24c30e117ad4,41.160398707799985,VvLAwzzvvAvLvAwQPMPLvwQMAQQvMQQQccddfhikmpAtuyzBvEuuwAHHCMIEIKOMGNMPNTRUQOPSRTSUUkcrebfdsggalegasakljgaeaeaaahgthhsjnealfbattecff_bBbabaab
3611,ndode02_03543,1,1,"[2, 2, 60]",47,2,435d50bf896e2251b3f8810db08cbe8c,41.160398707799985,VvLAwzzvvAvLLzwMPPLQzLQPMAQwzQQQccddfhikmpztuyzuECHwIAFJJHGIEFNFLONONPTRUQPSRTSUUkcrebfdsgbalebvahbjtgtaeaavgtfthathmjealfgttecff_baab
3612,ndode02_03544,1,1,"[2, 2, 60]",47,2,750f58384366048321229eb87f85c570,41.160398707799985,VvLAwzzvvAvLvPwQLMLQzLQwQPQwzQQQccddfhikmptCuyuBEzzwIAGJJBENGGLONHINOPTRUQPSRTSUUkcrebfdsgablekaaghjtgpaehheophathlstjealfgttecff_baab
3613,ndode02_03545,2,2,"[3, 6]",47,2,99091b573cbab11b2abc65a928d7b8ed,41.160398707799985,VvLvLwzvvvLzMLwzzvQQMQMAPQQLMQQQcdigkmptryurwzxHNCFHMBDEMGIJGQQKPMKPPTQUUORTOSSTUnaannghgtisfvnnhgkgmflgpagpgugihiinmlbwwfwcvgngn_baBbbaab
3614,ndode02_03546,3,2,"[3, 12]",47,2,2963120c91d33d1f3f19ad6c0a83286c,41.160398707799985,VvLLvvLvvMvALMLLQQvPwQAPzMAQQAQQcdflnrtnwnxrGrAvHGxIBxCHLMDGDFQNRJRKTNSPSTPUPTSUUxvvvrabxvxvxvtsfvxaccvcxafxfsaaaavjuvacvxxxccjua_baababBbbaab
3615,ndode02_03547,2,2,"[2, 4]",47,2,01efab12bb5b63c0388b2d0319fd0b87,41.160398707799985,VvLLvvLvvwvvLQMLPAMwQAzMQwPQQQQQcdflrtrqpCwtwxGHEFGLEMyBMLPNCRKKJTQJROQTPOSUQUTSUxvvvmvvvapuxxavifvaciwxxxaxwtaavvafaaavvvacvxxvc_BaaBbabB
3616,ndode02_03548,2,2,"[2, 4]",47,2,9a8ba8c81998a02c65bfc675ee7f848f,41.160398707799985,VvLLvvLvvLvvvQMQzzzwLMQQMQQMQQQQcdflrwqpCzwFGEHGEDOAOzBJSKMLCTTIRTPKRKJNUNQPPSURUxvvravvaavvxuaccaavcvxkvfxxwtvtcvffvqqjbcafdabab_baabbBba
