id,name,cusps,betti,tets,solids,hash,volume,triangulation
27,ododecld03_00001,1,1,45,3,7273f172e13eeb7bd0157548031e4792,33.597194222,TLvvvvAwzMMwMALzzwMwPQwQAPMAQPQcinjltomquswvsrzDCzHzDEFEFCIHFMMOPOKLLQNPSRRSSlnavnaiaiagokobaduielwnowfwkwbqiaapkrbhwkqfgip_cBdC(1,0)
28,ododecld03_00002,1,2,45,3,36d22d4c5cd38f86a046bffb38c47dea,33.5971942224,TLLvLvLLvvMzLMzMwPQwMQMwMAQMQQPcdgmprsuqvzCzuACCIIzBxDEEJHHKLHJKQOMMPQOOQRRSShsgthhsnkoaahndiaamimefkknvvcbsjstapquesrncwuk_BaBb(1,0)
29,ododecld03_00003,1,0,43,3,51499d23a4281a943dcafe7904cdf892,33.597194222,RLvLLvMPwMvAzLzQzvzQAwPLAQPQQkcfijmoilllspusrvzyvxDEAECFGJNKMIKKOQLNQPPQOPuplkhhghhfeohtsmsnogahghaunwtgjkvgptwmdatujn_bbba(1,0)
30,ododecld03_00004,1,0,47,3,e04def7cf00bd4012dd656260c28f1d7,33.597194222,VLLvLLLzLPPALQzPzvMvPwzAPLMPAQQQccdgiklpnqrrmqtouttxvzAEHDFHHFLKKQMLPPRSOUUSURTTThsgvppdlhssfftwxeahwsulgcjffrtupadeksfrwtprabjjf_CbBb(1,0)
31,ododecld03_00005,1,0,47,3,938e210ae5f2604ec72a4199ee11b30b,33.597194222,VLLLLvvLLwzzPALALQQAvQAMwwzMQPQPcccfgmnslrwutpAsxCwAFACBFBDEGFGHHKMNPNRQSPQTSRUTUlnagilbfjpqqwlcagvwrgvkrgwjpslqqnadmaqfrrkdcohnj_dCbB(1,0)
32,ododecld03_00006,1,0,43,3,fd5d7295afe2f777874705252ce6f9d0,33.597194222,RLvAvvvPPzLLAwLQLwMQzPAzLQPQQkadfiknrpoqsrxwvuuCwyAGFDEKIJHHPHMPOLKQQOQNOPnaqkccajnwltaeingfgkcpqlhqaaujxngxeofeeleawr_bCbD(1,0)
33,ododecld03_00007,1,1,44,3,589c6f115f9d1163ad2c10c239d3ad49,33.5971942224,SLLLvvMzMwLMwvLMzMPzQwPAQLzQQQccdeimklkqpuqttAxvxzHyBIICBHGJHGMGPLNOQRPOQQRRhshshpaawrawdowvovnhfbxmjwuckofwkdvpehaeljsff_bacB(1,0)
34,ododecld03_00008,1,0,41,3,7b9eb50281c34c83d9069d942bb90268,33.5971942224,PLLvALvvLLLAMQwvAwPzPAQAwQQQcbeghjktwtpvworrvDBDFDzECACGHLFIKMOLNONKMMOhhhaaaaqqvqaksjqaakhkckkowltilprcmglqqjsso_cDdE(1,0)
35,ododecld03_00009,1,0,44,3,8b4e3145f6460582ecbefd44583ee4cb,33.5971942224,SLLvLQvwvvvzAvQwAzAzAQzQQMQLQQcceigjihxqytDvtsuwvGCzLCBJHIMKFGMHJNONLNPRQRQRhlegcvndfaulutudcbubounvxdatiotqunjkjfvfppiiv_CbDc(1,0)
36,ododecld03_00010,1,4,46,3,22942865134c04d5e420cc0e69fdc2eb,33.597194222,ULLvLLvPvzMLPLvvQvMMzQwQQMPQAQMkcdgfojmqsupuvDyAwxFGECINBCOJGOFINRPQMNRLMPPSSTThsgjhglsnhsixmqeobkvfsvubjmbcejolqidicwocvodiwj_aBbB(1,0)
37,ododecld03_00011,1,1,41,3,0e8a8a26565b8d5330b9e8608d1f907c,33.597194222,PLLvLLLvAvMvvAMMwwvQQzPQQQQQcacghipkomyszAtyDuLFBxGKHICNIEHMFKLHJNMOOMOnkjaxacvflmcfnvaklpfktlqeuqcvsvgggcjrbcvrk_BeBf(1,0)
38,ododecld03_00012,1,1,43,3,d2506e32c280821986367fe1e80fcda2,33.597194222,RLLvLvvvvLvLwMvMPQPQMAAzQQQQQkcdgonBwuzsKwIAJHIyHBxLzBNGHNKMQOGGQPMQLNKOPPhsglflvginujahleqgmloxluauosgbdaofueglorvaug_dCbB(1,0)
39,ododecld03_00013,1,0,49,3,de4c1a6f21e0fab653740716ff446d24,33.5971942224,XLvLvvLvMvzPPLLMLLMAMzwQzPQMQQLQQkbflpqpzuyzttvwAwByKGJzMDEIHQSNHTTOTMLRQURPWWUVVUSWtuaqaupcgkovvgagpothlcdsjkkaxvculqlgnppqdqjswvvkrv_Bcab(1,0)
40,ododecld03_00014,1,0,41,3,590bd72679159e5c8dd443a4615cb5eb,33.5971942224,PLvvLLAvvzvLMvMQvAwPQQPQQAQQcbghkllqoAxEvzCwxHHFLyLDBKBNDGJIILMJNOMKNOOxxjbxqvjivajemovuaxajaxpacajfggcggrqpjvmed_dEbB(1,0)
41,ododecld03_00015,1,0,47,3,4b99f78638e1e0fdfef7682623a2e334,33.5971942224,VLLvLLvLvzvAvvzvMvQMAQQQQMPPQPQQccdgipnymtuvNMKLDOFCyAMOCMOFQDCEPSSLKPNTRKLUTUSUThsgvhlhfgkgahquecgjwoccjcvwacggnqaswcbuavjlxjwvg_bacB(1,0)
42,ododecld03_00016,1,0,44,3,bef84f871268b04a29b5e834623ab69f,33.5971942224,SLvvLLvvLLAMALvLPALQPPMAzMQQQQccehklptnxqytECBuAKBJIDKAJMKJMFHLNNHLRQOPOOQRRqqffqamckfqoaatnqaaxmaicgbcvfgjwqdsfutmlqfnwg_bDcF(1,0)
43,ododecld03_00017,1,0,45,3,5fb633efdcca5643a9eb3fd42a70fd9a,33.597194222,TLLvLMLvzwMPvLALwLLMPAwMQMAQMQQacjghmmpnoqvvywAxGCBKyKCFCOEMIPJOMJNRQQRPSSPRSnklwaawawxqlwanxbadhakkfkkabxgmbmlbpduamlsvnko_BBBa(1,0)
44,ododecld03_00018,1,0,41,3,6d16554c8aca4b9d702fa333b9dddfc5,33.5971942224,PLLvLvzvvwMMPwQwLzLLQAAQQQMQccdglmstmnuwqryvzECBDGzDLIGFEFNJKHIJLMONOMOhsgtqhskfwfonlcaaqevsvjvgbnnvporsvofiqhmjf_CbBa(1,0)
45,ododecld03_00019,1,0,47,3,2c87aa3fdacf4bd54fb90d61cc90eff1,33.597194222,VvLvLvvMvQzLzvvwQzPPAvPPQQPPQQQQceikimumtnpBtBBDGHLxKARKFOEGNSKOLMJMMUSRUTPQQRTUTwarojaftbliniapadxvtvhilaoocbjnojgjwtksppgjbfeih_CdBc(1,0)
46,ododecld03_00020,1,0,45,3,17efa76ba99eb71b8d887a141650039b,33.597194222,TLLvvvLvLzvvQvzwvPQQPQQQPQQPwQQcdklnponxtwKzvGywFDCNFBJGEHDOFGKIJNPLMPMQRRSSShsapafffsjodtvigouquulonfbnkvnsbrfopbkpcmqkvrn_CbBa(1,0)
47,ododecld03_00021,1,0,44,3,558b4b722f83717ada58f207f7a96a38,33.5971942224,SLvAvLvzMLzPMvzPvvMPLzQQQPPQQQcbefhnpoknosuvvtCHzFJLBDPCIOODGKILNRKKRQQNROPQlalvddatwwstadcqjfsudgwagtqqwghthiiuofcwkkrvb_baab(1,0)
48,ododecld03_00022,1,1,44,3,1129a804786f7b12d1b3e01b2ba9ae39,33.597194222,SLLvvLLLwzzLwQAvMzwAMPMQPMPMQQcbelnmjptuyszvrqDDyvHAFKLBFCJINGKINOLPQPORQORRhhaaifhacagifcbamtcalagbfgfsvujkreawaaugsgvno_BabB(1,0)
